id;code;description;created;modified;modified_user;department_id
1;Garden Ber;District;2020-12-13T01:20:48;2020-12-13T02:18:54;dynamic;1
2;feed infom;Savings Account;2020-12-13T08:39:40;2020-12-13T06:46:51;Division copy;2
3;solid stat;Swiss Franc feed;2020-12-12T20:03:59;2020-12-13T16:37:32;Graphical User Interface;3
4;Shirt Cred;yellow Auto Loan Account;2020-12-13T15:02:57;2020-12-13T04:15:05;Land Representative;4
5;Granite;global Squares Harbor;2020-12-13T04:12:33;2020-12-13T09:27:48;indexing;5
6;Computers;logistical Steel primary;2020-12-13T16:09:36;2020-12-12T22:54:40;multi-tasking;6
7;Gorgeous C;cross-platform;2020-12-13T18:21:59;2020-12-12T21:12:42;bypass Regional Malaysian Ringgit;7
8;COM Costa ;unleash RSS Movies;2020-12-12T23:24:56;2020-12-13T03:24:55;revolutionize migration Tactics;8
9;parse;Turkish Lira quantifying Rhode Island;2020-12-13T01:27:10;2020-12-13T15:14:22;Direct Future black;9
10;Marketing ;withdrawal;2020-12-13T10:40:15;2020-12-13T18:05:01;Paradigm Extension Integration;10
