id;daydate;description;turn_count;turn_direction;shift_def;created;modified;modified_user;calendar_id
1;2020-12-12;Chips Tools;38390;true;../fake-data/blob/hipster.txt;2020-12-12T22:46:39;2020-12-13T13:06:59;GB deposit Moldovan Leu;1
2;2020-12-12;Intelligent;15095;true;../fake-data/blob/hipster.txt;2020-12-13T18:35:37;2020-12-12T20:11:32;Expanded approach European Unit of Account 9(E.U.A.-9);2
3;2020-12-13;Freeway interfaces;23819;false;../fake-data/blob/hipster.txt;2020-12-13T10:51:07;2020-12-13T03:17:45;incentivize e-markets;3
4;2020-12-12;Delaware Papua New Guinea plum;32946;false;../fake-data/blob/hipster.txt;2020-12-13T18:24:26;2020-12-13T16:03:00;Internal;4
5;2020-12-12;Plastic;59532;true;../fake-data/blob/hipster.txt;2020-12-12T19:34:21;2020-12-13T10:53:15;Spring;5
6;2020-12-13;indexing CFA Franc BCEAO calculate;20510;false;../fake-data/blob/hipster.txt;2020-12-13T15:39:30;2020-12-13T13:40:43;vortals Executive;6
7;2020-12-13;Mexico;72750;true;../fake-data/blob/hipster.txt;2020-12-13T02:17:04;2020-12-12T23:28:45;Cote d'Ivoire;7
8;2020-12-13;applications CFA Franc BCEAO Russian Ruble;67179;true;../fake-data/blob/hipster.txt;2020-12-13T06:07:48;2020-12-13T12:45:21;auxiliary;8
9;2020-12-13;deliver;41344;false;../fake-data/blob/hipster.txt;2020-12-13T09:16:19;2020-12-13T00:44:51;hack;9
10;2020-12-13;Egyptian Pound hack;15539;false;../fake-data/blob/hipster.txt;2020-12-13T04:53:06;2020-12-13T14:54:57;Movies;10
