id;description;first_time;last_time;message_yes;message_no;result_msg_yes;result_msg_no;terminal_id;access_code_id
1;Principal;;;mission-critical indexing;core;implement Orchestrator;Avon Credit Card Account innovat;1;1
2;Handmade Streamlined Central;;;SMS middleware HTTP;Norwegian Krone Auto Loan Accoun;Rwanda Franc;transmit Unbranded Cotton Gloves;2;2
3;Director Generic Rubber Computer New Mexico;;;firewall;Alabama Borders e-business;Towels Colorado;project Representative monetize;3;3
4;virtual application;;;harness Administrator;application payment;Maldives Mozambique;IB;4;4
5;platforms;;;reintermediate;Unbranded Soft Gloves architectu;next-generation Legacy;enterprise French Southern Terri;5;5
6;violet Chips;;;responsive;enterprise;Car;Specialist;6;6
7;Iran;;;Won mobile Future;Tasty;Ergonomic Fresh Bacon;Beauty Antarctica (the territory;7;7
8;Awesome Steel Bike Cheese technologies;;;Home Loan Account Berkshire Domi;Soap parsing;Gorgeous Plastic Bacon drive;maroon;8;8
9;Public-key envisioneer;;;Supervisor Handcrafted Fresh Bac;matrix Forks;Synergistic Awesome Rubber Fish ;Granite Incredible;9;9
10;Berkshire connecting;;;convergence Plastic;Station;protocol firewall;Place deposit;10;10
